Year,Month,Mean_File_Count,Mean_Word_Count,Mean_Positive,Mean_Negative,Mean_Sentiment_Score,Median_Sentiment_Score,StdDev_Sentiment_Score,Date,Mean_Sentiment_Score_Corrected,Mean_Positive_Corrected,Mean_Negative_Corrected,Median_Sentiment_Score_Corrected,StdDev_Sentiment_Score_Corrected
2000,2,11,30030.636363636364,984.5454545454545,416.3636363636364,298.6500000000003,337.55000000000007,112.69643960658223,2000-02-01,0.009944844204554753,0.03278470168343237,0.013864629151442315,0.011240188050384911,0.0037527156681582885
2000,3,5,21151.6,965.8,251.8,354.1500000000005,530.6000000000004,314.1319070072321,2000-03-01,0.016743414209799756,0.04566084835189773,0.01190453677263186,0.02508557272263093,0.014851448921463725
2000,5,4,20452.25,832.0,363.25,258.2375,297.09999999999997,208.54474889497152,2000-05-01,0.012626361402779646,0.040680120769108534,0.017760882054541675,0.014526519087142,0.010196665349532277
2000,6,4,23522.25,781.5,444.5,175.97499999999957,215.94999999999945,111.20192968949152,2000-06-01,0.007481214594692241,0.033223862513152444,0.01889700177491524,0.009180669366238325,0.0047275209509928485
2000,8,4,21179.0,819.0,356.5,257.9875000000005,284.55000000000064,188.89831645182417,2000-08-01,0.012181288068369637,0.03867038103782048,0.016832711648330893,0.0134354785400633,0.008919132936013228
2000,10,4,18164.5,623.0,360.75,161.6124999999998,153.27499999999998,161.21292015530244,2000-10-01,0.008897162046849615,0.034297668529274135,0.019860166808885464,0.00843816234963803,0.008875164202444462
2000,11,4,22368.75,874.5,453.25,240.71249999999992,273.8999999999997,168.73483326904784,2000-11-01,0.010761106454316844,0.03909471919530595,0.020262643196423583,0.012244761106454304,0.007543328673665173
2000,12,5,22482.0,835.4,444.4,185.58500000000012,248.60000000000025,148.946826292137,2000-12-01,0.008254826083088699,0.0371586157815141,0.019766924650831776,0.01105773507695046,0.00662515907357606
2001,1,13,28986.076923076922,1089.5384615384614,601.7692307692307,214.56730769230776,265.40000000000015,97.53202806461806,2001-01-01,0.007402426629230482,0.0375883381676614,0.020760630435301828,0.009156120047025235,0.003364788837187177
2001,3,5,21427.8,831.0,450.0,204.69500000000045,271.50000000000017,176.33844624755022,2001-03-01,0.009552777233313754,0.038781396130260694,0.02100075602721698,0.01267045613642092,0.008229423750807372
2001,4,1,1993.0,53.0,71.0,-3.35,-3.35,,2001-04-01,-0.0016808830908178625,0.026593075765178123,0.03562468640240843,-0.0016808830908178625,
2001,5,5,22160.2,831.8,574.0,184.02500000000052,216.12500000000065,162.32344832155385,2001-05-01,0.008304302307740928,0.037535762312614504,0.02590229330060198,0.009752845190927908,0.007324999247369331
2001,6,5,21543.0,792.8,548.8,142.79000000000002,162.3500000000002,132.97141915652395,2001-06-01,0.006628139070695819,0.03680081697070974,0.025474632131086663,0.007536090609478726,0.00617237242522044
2001,8,5,23478.2,873.8,531.2,174.385,195.09999999999997,141.51385930360308,2001-08-01,0.00742752851581467,0.03721750389723232,0.02262524384322478,0.008309836358835003,0.0060274577822662335
2001,9,1,1361.0,15.0,43.0,-10.85,-10.85,,2001-09-01,-0.007972079353416605,0.011021307861866276,0.03159441587068332,-0.007972079353416605,
2001,10,4,19827.0,732.0,729.25,10.287499999999973,4.974999999999996,26.54839527479322,2001-10-01,0.0005188631663892658,0.036919352398244815,0.03678065264538256,0.00025092046199626754,0.0013390021321830442
2001,11,4,22594.25,827.0,742.75,103.23125000000024,112.78750000000002,84.39044025391772,2001-11-01,0.004568916870442712,0.036602232868982156,0.03287340805735973,0.004991867399891567,0.003735040563591078
2001,12,4,23823.5,884.75,698.25,121.18750000000007,145.00000000000028,95.6006657490766,2001-12-01,0.005086888996159258,0.03713770017000021,0.02930929544357462,0.006086427267194169,0.004012872405359271
2002,1,9,31757.666666666668,1239.6666666666667,605.7777777777778,316.0833333333328,333.6749999999996,90.18070227326884,2002-01-01,0.00995297723384378,0.03903519360154503,0.01907500900919813,0.01050691171685576,0.0028396513893737627
2002,3,3,31701.333333333332,1433.6666666666667,638.3333333333334,388.7833333333327,403.3749999999999,33.395661519624355,2002-03-01,0.012263942631224744,0.04522417563930014,0.02013585127860027,0.012724228213324357,0.0010534465906678276
2002,5,4,19196.75,877.5,461.5,237.24999999999932,220.56249999999966,208.6005862487758,2002-05-01,0.012358862828343304,0.045710862515790436,0.024040527693489782,0.011489575058278077,0.010866453240719174
2002,6,7,25810.285714285714,1258.0,446.42857142857144,401.8499999999996,526.8500000000004,247.10920114731962,2002-06-01,0.01556937433581295,0.048740258590152324,0.01729653737159051,0.02041240479985832,0.009574059112819017
2002,8,6,26683.666666666668,1241.1666666666667,569.1666666666666,326.45833333333354,379.90000000000066,162.24040315737224,2002-08-01,0.012234388077600538,0.04651409726299484,0.021330152028082094,0.01423717380170144,0.006080139029769981
2002,9,5,25930.6,1088.4,541.6,290.62999999999954,350.82499999999976,157.6135854312689,2002-09-01,0.011207993644574346,0.041973575621080894,0.02088652017307737,0.013529382274224268,0.0060782853243376124
2002,11,7,28753.428571428572,1094.7142857142858,656.7142857142857,276.88214285714287,308.70000000000016,115.70882971411267,2002-11-01,0.00962953486292318,0.03807247831314527,0.022839512306606913,0.01073611097310135,0.004024175044957563
2002,12,5,23821.8,1050.2,612.8,260.0450000000004,297.9250000000002,155.40845014026792,2002-12-01,0.010916261575531674,0.04408566942884249,0.025724336532084058,0.012506401699283857,0.006523791239128358
