Year,Month,Mean_File_Count,Mean_Word_Count,Mean_Positive,Mean_Negative,Mean_Sentiment_Score,Median_Sentiment_Score,StdDev_Sentiment_Score,Date,Mean_Sentiment_Score_Corrected,Mean_Positive_Corrected,Mean_Negative_Corrected,Median_Sentiment_Score_Corrected,StdDev_Sentiment_Score_Corrected,ORG,GPE,PERSON,WORK_OF_ART,PRODUCT,NORP,LOC,LAW,FAC,EVENT,LANGUAGE
2000,2,11,30030.636363636364,984.5454545454544,416.3636363636364,298.6500000000003,337.55000000000007,112.69643960658225,2000-02-01,0.0099448442045547,0.0327847016834323,0.0138646291514423,0.0112401880503849,0.0037527156681582,5986.0,1702.0,1921.0,113.0,275.0,444.0,16.0,36.0,,,
2000,3,5,21151.6,965.8,251.8,354.1500000000005,530.6000000000004,314.1319070072321,2000-03-01,0.0167434142097997,0.0456608483518977,0.0119045367726318,0.0250855727226309,0.0148514489214637,61.0,77.0,,,,,,,,,
2000,5,4,20452.25,832.0,363.25,258.2375,297.1,208.54474889497152,2000-05-01,0.0126263614027796,0.0406801207691085,0.0177608820545416,0.014526519087142,0.0101966653495322,49.0,28.0,,,,,,,,,
2000,6,4,23522.25,781.5,444.5,175.97499999999957,215.94999999999945,111.20192968949152,2000-06-01,0.0074812145946922,0.0332238625131524,0.0188970017749152,0.0091806693662383,0.0047275209509928,16.0,,,,,,,,,,
2000,8,4,21179.0,819.0,356.5,257.9875000000005,284.55000000000064,188.89831645182417,2000-08-01,0.0121812880683696,0.0386703810378204,0.0168327116483308,0.0134354785400633,0.0089191329360132,22.0,,,,,,,,,,
2000,10,4,18164.5,623.0,360.75,161.6124999999998,153.27499999999998,161.21292015530244,2000-10-01,0.0088971620468496,0.0342976685292741,0.0198601668088854,0.008438162349638,0.0088751642024444,13.0,,,,,,,,,,
2000,11,4,22368.75,874.5,453.25,240.71249999999992,273.8999999999997,168.73483326904784,2000-11-01,0.0107611064543168,0.0390947191953059,0.0202626431964235,0.0122447611064543,0.0075433286736651,18.0,,,,,,,,,,
2000,12,5,22482.0,835.4,444.4,185.5850000000001,248.60000000000025,148.946826292137,2000-12-01,0.0082548260830886,0.0371586157815141,0.0197669246508317,0.0110577350769504,0.006625159073576,18.0,,,,,,,,,,
2001,1,13,28986.07692307692,1089.5384615384614,601.7692307692307,214.56730769230776,265.40000000000015,97.53202806461806,2001-01-01,0.0074024266292304,0.0375883381676614,0.0207606304353018,0.0091561200470252,0.0033647888371871,99.0,126.0,,,,,,,,,
2001,3,5,21427.8,831.0,450.0,204.69500000000045,271.50000000000017,176.33844624755022,2001-03-01,0.0095527772333137,0.0387813961302606,0.0210007560272169,0.0126704561364209,0.0082294237508073,49.0,,,,,,,,,,
2001,4,1,1993.0,53.0,71.0,-3.35,-3.35,,2001-04-01,-0.0016808830908178,0.0265930757651781,0.0356246864024084,-0.0016808830908178,,55.0,63.0,,,,,,,,,
2001,5,5,22160.2,831.8,574.0,184.0250000000005,216.12500000000065,162.32344832155383,2001-05-01,0.0083043023077409,0.0375357623126145,0.0259022933006019,0.0097528451909279,0.0073249992473693,43.0,39.0,,,,,,,,,
2001,6,5,21543.0,792.8,548.8,142.79000000000002,162.3500000000002,132.97141915652395,2001-06-01,0.0066281390706958,0.0368008169707097,0.0254746321310866,0.0075360906094787,0.0061723724252204,47.0,49.0,,,,,,,,,
2001,8,5,23478.2,873.8,531.2,174.385,195.1,141.51385930360308,2001-08-01,0.0074275285158146,0.0372175038972323,0.0226252438432247,0.008309836358835,0.0060274577822662,47.0,54.0,,,,,,,,,
2001,9,1,1361.0,15.0,43.0,-10.85,-10.85,,2001-09-01,-0.0079720793534166,0.0110213078618662,0.0315944158706833,-0.0079720793534166,,47.0,30.0,,,,,,,,,
2001,10,4,19827.0,732.0,729.25,10.287499999999971,4.974999999999996,26.54839527479322,2001-10-01,0.0005188631663892,0.0369193523982448,0.0367806526453825,0.0002509204619962,0.001339002132183,43.0,56.0,,,,,,,,,
2001,11,4,22594.25,827.0,742.75,103.23125000000024,112.78750000000002,84.39044025391772,2001-11-01,0.0045689168704427,0.0366022328689821,0.0328734080573597,0.0049918673998915,0.003735040563591,42.0,7.0,,,,,,,,,
2001,12,4,23823.5,884.75,698.25,121.18750000000009,145.00000000000028,95.6006657490766,2001-12-01,0.0050868889961592,0.0371377001700002,0.0293092954435746,0.0060864272671941,0.0040128724053592,42.0,35.0,,,,,,,,,
2002,1,9,31757.666666666668,1239.6666666666667,605.7777777777778,316.0833333333328,333.6749999999996,90.18070227326884,2002-01-01,0.0099529772338437,0.039035193601545,0.0190750090091981,0.0105069117168557,0.0028396513893737,,,,,,,,,,,
2002,3,3,31701.33333333333,1433.6666666666667,638.3333333333334,388.7833333333327,403.3749999999999,33.395661519624355,2002-03-01,0.0122639426312247,0.0452241756393001,0.0201358512786002,0.0127242282133243,0.0010534465906678,,,,,,,,,,,
2002,5,4,19196.75,877.5,461.5,237.2499999999993,220.5624999999997,208.6005862487758,2002-05-01,0.0123588628283433,0.0457108625157904,0.0240405276934897,0.011489575058278,0.0108664532407191,38.0,,70.0,,,,,,,,
2002,6,7,25810.285714285717,1258.0,446.4285714285714,401.8499999999996,526.8500000000004,247.1092011473196,2002-06-01,0.0155693743358129,0.0487402585901523,0.0172965373715905,0.0204124047998583,0.009574059112819,43.0,,70.0,,,,,,,,
