Mean_File_Count,Mean_Word_Count,Mean_Positive,Mean_Negative,Mean_Sentiment_Score,Median_Sentiment_Score,StdDev_Sentiment_Score,Date,Mean_Sentiment_Score_Corrected,Mean_Positive_Corrected,Mean_Negative_Corrected,Median_Sentiment_Score_Corrected,StdDev_Sentiment_Score_Corrected
2,87890.5,6572.5,3004.5,1824.3500000000283,1824.3500000000283,2563.8277672262243,2000-02-01,0.020757078410067395,0.07478055079900559,0.03418458195140544,0.020757078410067395,0.029170704083219735
2,28619.5,2814.5,888.5,965.6749999999988,965.6749999999988,1346.2959560401255,2000-03-01,0.03374185433008958,0.0983420395185101,0.031045266339383988,0.03374185433008958,0.047041211622848945
2,22240.5,2032.5,954.5,572.250000000004,572.250000000004,799.8084802001094,2000-05-01,0.02573008700343985,0.09138733391785257,0.04291720060250444,0.02573008700343985,0.03596180302601603
2,25651.5,1818.0,1106.0,397.6750000000036,397.6750000000036,534.890924628569,2000-06-01,0.015502992027756802,0.07087304835974505,0.0431163869559285,0.015502992027756802,0.020852227925406662
2,23098.5,1921.0,917.5,564.4499999999969,564.4499999999969,771.5949196307563,2000-08-01,0.024436651730631722,0.08316557352209018,0.03972119401692751,0.024436651730631722,0.033404546599595485
2,19812.5,1541.5,1004.5,360.8750000000033,360.8750000000033,483.2721296019506,2000-10-01,0.01821451104100963,0.07780441640378549,0.05070031545741325,0.01821451104100963,0.024392284143947035
2,24102.5,2033.0,1343.5,458.90000000000816,458.90000000000816,633.3555439088022,2000-11-01,0.019039518722124598,0.08434809667046987,0.05574110569443004,0.019039518722124598,0.02627758713447992
2,30273.0,2471.0,1519.0,463.7625000000052,463.7625000000052,664.5566306286544,2000-12-01,0.015319343969874317,0.0816238892742708,0.0501767251346084,0.015319343969874317,0.021952123365000308
3,68018.33333333333,5819.0,3164.3333333333335,1105.616666666644,16.44999999999999,1891.8639019055217,2001-01-01,0.016254686236553538,0.08555046433559581,0.0465217710911274,0.00024184656097620723,0.02781402908880726
2,29011.0,2389.0,1425.0,508.7875000000024,508.7875000000024,707.1598141951399,2001-03-01,0.017537744303884818,0.08234807486815346,0.04911929957602289,0.017537744303884818,0.024375575271281234
1,1106.0,69.0,71.0,4.750000000000004,4.750000000000004,,2001-04-01,0.004294755877034362,0.06238698010849909,0.06419529837251356,0.004294755877034362,
2,29815.5,2347.5,1960.0,380.64999999999986,380.64999999999986,524.3196782498248,2001-05-01,0.012766849457496935,0.0787342154248629,0.06573761969445423,0.012766849457496935,0.017585473268931423
2,28986.0,2287.0,1757.0,343.9000000000017,343.9000000000017,470.93311627024303,2001-06-01,0.011864348306078855,0.07890015869730214,0.06061546953701787,0.011864348306078855,0.01624691631374605
2,31479.5,2566.0,1746.5,420.11250000000393,420.11250000000393,588.9669157198107,2001-08-01,0.01334558998713461,0.08151336584126177,0.055480550834670184,0.01334558998713461,0.01870953845263777
1,750.0,33.0,43.0,-1.8499999999999976,-1.8499999999999976,,2001-09-01,-0.0024666666666666635,0.044,0.05733333333333333,-0.0024666666666666635,
2,21678.5,1670.5,1707.5,-29.39999999999976,-29.39999999999976,45.96194077712525,2001-10-01,-0.0013561823926932102,0.07705791452360634,0.07876467467767603,-0.0013561823926932102,0.0021201624087056415
2,24778.5,2049.5,1702.0,274.2874999999982,274.2874999999982,374.4660736468634,2001-11-01,0.011069576447323213,0.08271283572451923,0.06868858082611942,0.011069576447323213,0.01511254005072395
2,26052.0,1994.5,1683.5,210.4749999999984,210.4749999999984,283.9387279854559,2001-12-01,0.00807903423921382,0.07655842161830186,0.06462075848303393,0.00807903423921382,0.010898922462208502
1,153694.0,13208.0,7001.0,2970.324999999996,2970.324999999996,,2002-01-01,0.019326226137650112,0.08593699168477624,0.04555155048342811,0.019326226137650112,
1,52469.0,4850.0,2734.0,1084.0500000000052,1084.0500000000052,,2002-03-01,0.020660771121995943,0.09243553336255694,0.05210695839448055,0.020660771121995943,
2,21095.0,1978.5,1166.0,475.8500000000007,475.8500000000007,619.354829641298,2002-05-01,0.022557478075373345,0.09378999762977008,0.05527376155487082,0.022557478075373345,0.029360266870884
2,48687.0,4988.5,2040.5,1447.0750000000073,1447.0750000000073,2004.8952120372876,2002-06-01,0.029721999712449057,0.10246061577012344,0.041910571610491505,0.029721999712449057,0.041179271921401764
2,44034.0,4349.5,2324.5,992.975000000002,992.975000000002,1397.9147510667478,2002-08-01,0.02255018849071177,0.09877594586001726,0.052788754144524684,0.02255018849071177,0.03174625859714648
2,33483.0,3166.5,1672.5,809.8500000000081,809.8500000000081,1119.8450093651468,2002-09-01,0.02418690081533937,0.09457037899829765,0.049950721261535706,0.02418690081533937,0.03344518141639479
2,55436.0,4737.5,2997.0,1088.5624999999939,1088.5624999999939,1499.7911605661882,2002-11-01,0.019636382495129407,0.08545890756908868,0.05406234216032903,0.019636382495129407,0.027054462092614695
2,32796.5,3158.0,1967.5,695.8874999999981,695.8874999999981,955.0007410010188,2002-12-01,0.021218346469897644,0.0962907627338283,0.05999115759303584,0.021218346469897644,0.02911898345863183
2,70803.5,6077.0,3159.5,1477.0750000000185,1477.0750000000185,2052.4834984111585,2003-01-01,0.02086160994866099,0.08582909036982635,0.04462350025069382,0.02086160994866099,0.028988446876371345
2,18261.5,1601.5,1098.5,270.624999999998,270.624999999998,342.8407228582947,2003-03-01,0.014819428853051392,0.08769816280152233,0.06015387564000767,0.014819428853051392,0.018773962864950564
