Unnamed: 0,Mean_File_Count,Mean_Word_Count,Mean_Positive,Mean_Negative,Mean_Sentiment_Score,Median_Sentiment_Score,StdDev_Sentiment_Score,Date,Mean_Sentiment_Score_Corrected,Mean_Positive_Corrected,Mean_Negative_Corrected,Median_Sentiment_Score_Corrected,StdDev_Sentiment_Score_Corrected,Interest Rate,Interest Rate Change,Treasury Rate,Inflation Rate,GDP Change,Unemployment Rate
1,2,25651.5,1818.0,1106.0,397.6750000000036,397.6750000000036,534.890924628569,2000-06-01,0.4962825931507473,0.070873048359745,0.0431163869559285,0.0155029920277568,0.0208522279254066,6.53,0.0414673046251994,6.097272727272728,0.0058411214953271,0.0245487508271946,0.0
3,2,19812.5,1541.5,1004.5,360.8750000000033,360.8750000000033,483.2721296019506,2000-10-01,0.5711688060810055,0.0778044164037854,0.0507003154574132,0.0182145110410096,0.024392284143947,6.51,-0.0015337423312883,5.738571428571428,0.0069484655471916,0.0113953401598054,0.0
4,2,24102.5,2033.0,1343.5,458.90000000000816,458.90000000000816,633.3555439088022,2000-11-01,0.5939537102528387,0.0843480966704698,0.05574110569443,0.0190395187221245,0.0262775871344799,6.51,0.0,5.717142857142857,0.0017251293847038,0.0113953401598054,0.0
5,2,30273.0,2471.0,1519.0,463.7625000000052,463.7625000000052,664.5566306286544,2000-12-01,0.4912106362514596,0.0816238892742708,0.0501767251346084,0.0153193439698743,0.0219521233650003,6.4,-0.0168970814132103,5.2405,0.002296211251435,0.0113953401598054,0.0
6,3,68018.33333333333,5819.0,3164.333333333333,1105.616666666644,16.44999999999999,1891.8639019055213,2001-01-01,0.517042739881514,0.0855504643355958,0.0465217710911274,0.0002418465609762,0.0278140290888072,5.98,-0.0656249999999999,5.160952380952381,0.0057273768613974,0.003304699693668,0.0769230769230771
7,2,29011.0,2389.0,1425.0,508.7875000000024,508.7875000000024,707.1598141951399,2001-03-01,0.5524779919164217,0.0823480748681534,0.0491192995760228,0.0175377443038848,0.0243755752712812,5.31,-0.0327868852459017,4.885454545454546,0.0028473804100228,0.003304699693668,0.0238095238095237
8,2,29815.5,2347.5,1960.0,380.6499999999999,380.6499999999999,524.3196782498248,2001-05-01,0.4207163315377687,0.0787342154248629,0.0657376196944542,0.0127668494574969,0.0175854732689314,4.21,-0.1229166666666666,5.391363636363637,0.0068143100511073,0.0122985825241104,-0.0227272727272728
9,2,28986.0,2287.0,1757.0,343.9000000000017,343.9000000000017,470.93311627024303,2001-06-01,0.3957912275408682,0.0789001586973021,0.0606154695370178,0.0118643483060788,0.016246916313746,3.97,-0.0570071258907363,5.284285714285714,0.0022560631697687,0.0122985825241104,0.0465116279069768
10,2,31479.5,2566.0,1746.5,420.11250000000393,420.11250000000393,588.9669157198107,2001-08-01,0.4366998766731679,0.0815133658412617,0.0554805508346701,0.0133455899871346,0.0187095384526377,3.65,-0.0318302387267904,4.971304347826087,-0.0016882386043893,-9.24615529767081e-05,0.0652173913043479
11,2,21678.5,1670.5,1707.5,-29.39999999999976,-29.39999999999976,45.96194077712525,2001-10-01,0.0306691420528578,0.0770579145236063,0.078764674677676,-0.0013561823926932,0.0021201624087056,2.49,-0.1889250814332246,4.566818181818181,0.0011273957158963,0.0058921383428225,0.06
12,2,24778.5,2049.5,1702.0,274.2874999999982,274.2874999999982,374.4660736468634,2001-11-01,0.3738413705216654,0.0827128357245192,0.0686885808261194,0.0110695764473232,0.0151125400507239,2.09,-0.1606425702811246,4.6515,-0.000563063063063,0.0058921383428225,0.0377358490566037
13,2,26052.0,1994.5,1683.5,210.4749999999984,210.4749999999984,283.9387279854559,2001-12-01,0.2912491484207594,0.0765584216183018,0.0646207584830339,0.0080790342392138,0.0108989224622085,1.82,-0.1291866028708133,5.0875,-0.0005633802816901,0.0058921383428225,0.0363636363636363
18,2,55436.0,4737.5,2997.0,1088.562499999994,1088.562499999994,1499.7911605661882,2002-11-01,0.6104377796534743,0.0854589075690886,0.054062342160329,0.0196363824951294,0.0270544620926146,1.34,-0.2342857142857142,4.048421052631579,0.0038716814159291,0.0070459503060804,0.0350877192982457
21,2,18261.5,1601.5,1098.5,270.624999999998,270.624999999998,342.8407228582947,2003-03-01,0.4774040762743817,0.0876981628015223,0.0601538756400076,0.0148194288530513,0.0187739628649505,1.25,-0.0079365079365079,3.8071428571428574,0.007119386637459,0.0101881917107846,0.0
24,2,21523.0,1803.5,939.5,389.23750000000194,389.23750000000194,543.5353050285722,2003-08-01,0.5675843536317786,0.0837940807508247,0.0436509780235097,0.0180847233192399,0.0252536962797273,1.03,0.0198019801980198,4.445238095238095,0.0076460950300383,0.0224439363458945,-0.0161290322580646
27,2,24588.0,2092.5,1336.5,454.57500000000033,454.57500000000033,629.9260760200364,2003-12-01,0.5787130489011796,0.0851024890190336,0.0543557833089311,0.0184876769155685,0.0256192482519943,0.98,-0.02,4.267727272727273,0.0032449972958354,0.0177721866165618,-0.0172413793103447
29,2,17807.0,1543.0,817.5,362.35000000000025,362.35000000000025,497.16677785226193,2004-03-01,0.6301115123855022,0.0866513168978491,0.0459089122255292,0.0203487392598416,0.0279197381845488,1.0,-0.0099009900990099,3.826521739130435,0.0042941492216854,0.0128448856860983,0.0357142857142858
30,2,1942.5,163.5,74.5,41.21249999999999,41.21249999999999,35.090174016382406,2004-05-01,0.6540693248698154,0.0841698841698841,0.0383526383526383,0.0212162162162162,0.0180644396480733,1.0,0.0,4.7155000000000005,0.0058792089791555,0.01588198446305,0.0
