Date,File_count,Word Count_mean,Positive_mean,Negative_mean,sentiment_score_economic_mean,sentiment_score_economic_median,sentiment_score_economic_std
2000-02,2,87890.5,6572.5,3004.5,1824.3500000000283,1824.3500000000283,2563.8277672262243
2000-03,2,28619.5,2814.5,888.5,965.6749999999988,965.6749999999988,1346.2959560401255
2000-05,2,22240.5,2032.5,954.5,572.250000000004,572.250000000004,799.8084802001094
2000-06,2,25651.5,1818.0,1106.0,397.6750000000036,397.6750000000036,534.890924628569
2000-08,2,23098.5,1921.0,917.5,564.4499999999969,564.4499999999969,771.5949196307563
2000-10,2,19812.5,1541.5,1004.5,360.8750000000033,360.8750000000033,483.2721296019506
2000-11,2,24102.5,2033.0,1343.5,458.90000000000816,458.90000000000816,633.3555439088022
2000-12,2,30273.0,2471.0,1519.0,463.7625000000052,463.7625000000052,664.5566306286544
2001-01,3,68018.33333333333,5819.0,3164.3333333333335,1105.616666666644,16.44999999999999,1891.8639019055217
2001-03,2,29011.0,2389.0,1425.0,508.7875000000024,508.7875000000024,707.1598141951399
2001-04,1,1106.0,69.0,71.0,4.750000000000004,4.750000000000004,
2001-05,2,29815.5,2347.5,1960.0,380.64999999999986,380.64999999999986,524.3196782498248
2001-06,2,28986.0,2287.0,1757.0,343.9000000000017,343.9000000000017,470.93311627024303
2001-08,2,31479.5,2566.0,1746.5,420.11250000000393,420.11250000000393,588.9669157198107
2001-09,1,750.0,33.0,43.0,-1.8499999999999976,-1.8499999999999976,
2001-10,2,21678.5,1670.5,1707.5,-29.39999999999976,-29.39999999999976,45.96194077712525
2001-11,2,24778.5,2049.5,1702.0,274.2874999999982,274.2874999999982,374.4660736468634
2001-12,2,26052.0,1994.5,1683.5,210.4749999999984,210.4749999999984,283.9387279854559
2002-01,1,153694.0,13208.0,7001.0,2970.324999999996,2970.324999999996,
2002-03,1,52469.0,4850.0,2734.0,1084.0500000000052,1084.0500000000052,
2002-05,2,21095.0,1978.5,1166.0,475.8500000000007,475.8500000000007,619.354829641298
2002-06,2,48687.0,4988.5,2040.5,1447.0750000000073,1447.0750000000073,2004.8952120372876
2002-08,2,44034.0,4349.5,2324.5,992.975000000002,992.975000000002,1397.9147510667478
2002-09,2,33483.0,3166.5,1672.5,809.8500000000081,809.8500000000081,1119.8450093651468
2002-11,2,55436.0,4737.5,2997.0,1088.5624999999939,1088.5624999999939,1499.7911605661882
2002-12,2,32796.5,3158.0,1967.5,695.8874999999981,695.8874999999981,955.0007410010188
2003-01,2,70803.5,6077.0,3159.5,1477.0750000000185,1477.0750000000185,2052.4834984111585
2003-03,2,18261.5,1601.5,1098.5,270.624999999998,270.624999999998,342.8407228582947
2003-05,2,2403.5,134.5,120.0,18.162500000000012,18.162500000000012,19.038850083447812
2003-06,2,31325.0,2757.0,1700.0,669.5624999999911,669.5624999999911,916.0745126966896
2003-08,2,21523.0,1803.5,939.5,389.23750000000194,389.23750000000194,543.5353050285722
2003-09,2,22360.0,2097.5,1147.0,575.5999999999929,575.5999999999929,805.7481771620609
2003-10,2,20532.0,1882.0,1066.5,493.7999999999944,493.7999999999944,690.0655077599438
2003-12,2,24588.0,2092.5,1336.5,454.57500000000033,454.57500000000033,629.9260760200364
2004-01,2,8186.0,653.5,215.5,203.10000000000036,203.10000000000036,268.41773413841395
2004-03,2,17807.0,1543.0,817.5,362.35000000000025,362.35000000000025,497.16677785226193
2004-05,2,1942.5,163.5,74.5,41.21249999999999,41.21249999999999,35.090174016382406
2004-06,2,2067.0,160.5,55.5,48.29999999999998,48.29999999999998,35.21391770309003
2004-08,2,18709.5,1451.5,777.5,384.30000000000115,384.30000000000115,506.8541407545189
2004-09,2,1892.0,115.0,62.0,26.91250000000001,26.91250000000001,16.98824041800681
2004-11,2,1475.0,99.5,63.0,23.549999999999997,23.549999999999997,20.293964620053917
2004-12,2,1981.0,130.5,68.5,35.20000000000003,35.20000000000003,17.182694782833114
2005-02,2,2780.0,191.5,82.5,54.525,54.525,57.31100461516966
2005-03,2,1758.5,117.5,66.0,29.0875,29.0875,26.710958659321836
2005-05,2,1686.0,109.5,70.0,21.987499999999994,21.987499999999994,16.104356941523612
2005-06,2,1740.5,97.5,74.0,19.72500000000001,19.72500000000001,8.379215357060595
2005-08,2,1444.0,85.5,53.5,19.500000000000007,19.500000000000007,14.566399692442895
2005-09,1,2193.0,145.0,127.0,11.500000000000004,11.500000000000004,
2005-11,1,2266.0,128.0,125.0,3.675000000000001,3.675000000000001,
2005-12,1,2218.0,158.0,91.0,40.1,40.1,
2006-01,3,1901.6666666666667,138.33333333333334,57.666666666666664,36.24999999999997,39.67499999999998,31.97537138173688
2006-02,5,1598.8,162.4,77.4,40.44499999999998,34.000000000000014,26.45792296269681
2006-03,11,1900.909090909091,174.8181818181818,100.63636363636364,31.25909090909091,31.075000000000014,17.911645208939053
2006-04,11,1746.5454545454545,172.54545454545453,96.81818181818181,28.993181818181828,18.45,28.62814631378771
2006-05,12,1835.5,194.0,94.75,38.891666666666666,49.59999999999999,34.069436672060114
2006-06,14,4402.214285714285,372.85714285714283,202.28571428571428,78.16428571428595,28.8125,165.44098695557716
2006-07,3,2305.0,229.33333333333334,123.33333333333333,43.28333333333336,47.42500000000002,8.573809441160527
2006-08,4,1859.25,141.75,59.75,41.44374999999999,49.1125,28.995706399109032
2006-09,5,1596.0,125.2,46.4,37.785000000000025,38.12499999999999,35.41126056779118
2006-10,8,1876.375,175.0,115.125,23.13124999999999,18.63749999999998,14.62660095022568
2006-11,8,2135.25,176.5,83.375,38.59375000000001,37.80000000000004,13.434196437769234
2006-12,5,1730.8,133.6,69.0,32.70000000000001,23.924999999999997,41.38670906825042
2007-01,7,2271.4285714285716,185.0,114.85714285714286,24.892857142857142,25.449999999999992,34.21833303181484
