Value,Date
38.574999999999996,barr20220907a
33.95000000000001,barr20221012a
-34.15000000000001,barr20221201a
52.22500000000002,barr20230207a
32.75000000000005,barr20230309a
21.174999999999997,barr20230329a
-24.749999999999922,barr20230710a
12.575000000000001,barr20230718a
55.750000000000014,barr20230908a
-5.774999999999999,barr20231002a
-25.224999999999987,barr20231009a
-53.54999999999995,barr20231019a
29.925000000000004,barr20231027a
37.22500000000003,barr20231116a
37.174999999999976,barr20231128a
18.5,barr20231201a
21.099999999999998,bernanke20060206a
73.77499999999992,bernanke20060224a
48.00000000000005,bernanke20060308a
28.874999999999964,bernanke20060320a
18.45,bernanke20060405a
98.075,bernanke20060420a
71.39999999999998,bernanke20060503a
9.274999999999986,bernanke20060516a
54.57500000000006,bernanke20060518a
31.92500000000001,bernanke20060605a
84.17500000000004,bernanke20060609a
25.69999999999999,bernanke20060612a
71.40000000000002,bernanke20060613a
21.275000000000006,bernanke20060615a
61.47499999999999,bernanke20060825a
65.24999999999996,bernanke20060831a
13.800000000000002,bernanke20060901a
24.199999999999996,bernanke20061004a
44.874999999999936,bernanke20061016a
47.925000000000026,bernanke20061101a
22.924999999999986,bernanke20061110a
33.275,bernanke20061128a
2.55,bernanke20061201a
102.92500000000003,bernanke20061215a
42.775000000000055,bernanke20070105a
47.79999999999985,bernanke20070206a
59.47499999999996,bernanke20070302a
57.77500000000009,bernanke20070306a
58.79999999999998,bernanke20070330a
13.249999999999961,bernanke20070411a
22.875000000000004,bernanke20070425a
49.07499999999999,bernanke20070501a
26.074999999999992,bernanke20070515a
22.325000000000006,bernanke20070517a
53.75,bernanke20070522a
7.899999999999999,bernanke20070605a
65.85000000000002,bernanke20070615a
79.47499999999997,bernanke20070710a
25.074999999999992,bernanke20070831a
27.550000000000022,bernanke20070911a
116.05000000000001,bernanke20070924a
21.325000000000006,bernanke20071012a
11.700000000000001,bernanke20071015a
23.949999999999967,bernanke20071019a
57.80000000000001,bernanke20071106a
59.799999999999976,bernanke20071114a
34.37500000000003,bernanke20071129a
10.900000000000006,bernanke20080110a
5.924999999999997,bernanke20080304a
17.275000000000006,bernanke20080314a
29.600000000000005,bernanke20080409a
38.14999999999998,bernanke20080410a
-18.52499999999997,Bernanke20080505a
5.899999999999992,bernanke20080513
38.325000000000024,bernanke20080515a
34.47499999999999,bernanke20080603a
35.1,bernanke20080604a
44.72499999999999,bernanke20080609a
13.7,bernanke20080612a
74.27499999999993,bernanke20080616a
33.150000000000006,bernanke20080708a
21.400000000000013,bernanke20080822a
27.449999999999996,bernanke20080909a
24.324999999999992,bernanke20081007a
14.075,bernanke20081014a
35.57500000000001,bernanke20081015a
41.19999999999997,bernanke20081031a
27.425000000000008,bernanke20081201a
-0.8999999999999896,bernanke20081204a
26.450000000000003,bernanke20081214a
31.700000000000014,bernanke20090113a
37.60000000000002,bernanke20090218a
24.925000000000004,bernanke20090307a
26.975000000000023,bernanke20090310a
26.000000000000004,bernanke20090320a
35.10000000000002,bernanke20090403a
10.249999999999995,bernanke20090414a
59.97499999999995,bernanke20090417a
52.4250000000001,bernanke20090507a
-8.049999999999986,bernanke20090511a
50.975000000000016,bernanke20090522a
4.325000000000001,bernanke20090604a
46.12499999999998,bernanke20090617a
16.399999999999995,bernanke20090626a
-17.52500000000001,bernanke20090821a
16.049999999999997,bernanke20090925a
11.174999999999995,bernanke20091008a
-5.924999999999998,bernanke20091019a
44.000000000000064,bernanke20091023a
23.475000000000005,bernanke20091116a
35.57500000000004,bernanke20091207a
22.574999999999967,bernanke20100103a
20.39999999999999,bernanke20100203a
28.650000000000006,bernanke20100320a
-1.4999999999999984,bernanke20100408a
14.099999999999998,bernanke20100413a
8.15,bernanke20100421a
6.475000000000003,bernanke20100427a
26.100000000000033,bernanke20100506a
132.27500000000015,bernanke20100508a
75.07499999999995,bernanke20100525a
23.22500000000001,bernanke20100530a
13.800000000000002,bernanke20100603a
30.499999999999996,bernanke20100609a
24.80000000000001,bernanke20100616a
32.925000000000004,bernanke20100712a
20.07500000000001,bernanke20100802a
75.39999999999996,bernanke20100827a
-14.624999999999986,bernanke20100924a
17.525000000000002,bernanke20100930a
11.550000000000017,bernanke20101004a
18.725000000000016,bernanke20101015a
16.3,bernanke20101019a
16.949999999999992,bernanke20101025a
63.49999999999995,bernanke20101119a
10.925000000000002,bernanke20101119b
24.974999999999987,bernanke20110203a
5.4750000000000005,bernanke20110210a
27.75000000000001,bernanke20110218a
15.450000000000003,bernanke20110302a
24.250000000000014,bernanke20110323a
12.499999999999991,bernanke20110404a
-7.8999999999999915,bernanke20110429a
32.12500000000001,bernanke20110505a
18.175000000000004,bernanke20110512a
105.95,bernanke20110516a
21.325000000000006,bernanke20110607a
9.550000000000006,bernanke20110614a
31.049999999999997,bernanke20110826a
-1.3999999999999952,bernanke20110908a
-1.2750000000000004,bernanke20110915a
121.17500000000001,bernanke20110928a
37.55,bernanke20111018a
36.250000000000014,bernanke20111109a
11.975000000000003,bernanke20111110a
71.47499999999991,bernanke20120216a
17.999999999999996,bernanke20120314a
8.474999999999998,bernanke20120323a
-79.4250000000001,bernanke20120326a
24.45,bernanke20120409a
-54.17499999999995,bernanke20120413a
15.74999999999999,bernanke20120510a
26.124999999999982,bernanke20120724a
41.42500000000001,bernanke20120806a
29.374999999999996,bernanke20120807a
32.27499999999999,bernanke20120831a
46.975000000000016,bernanke20121001a
18.575000000000014,bernanke20121014a
17.500000000000007,bernanke20121115a
-6.899999999999991,bernanke20121120a
26.875000000000007,bernanke20130301a
11.000000000000005,bernanke20130325a
