Value,Date
11.449999999999989,20000202.htm
13.699999999999989,20000321.htm
6.700000000000001,20000516.htm
19.44999999999998,20000628.htm
18.849999999999984,20000822.htm
19.149999999999984,20001003.htm
11.049999999999986,20001115.htm
-6.149999999999997,20001219.htm
10.249999999999995,20010103.htm
16.44999999999999,20010131.htm
8.749999999999995,20010320.htm
4.750000000000004,20010418.htm
9.899999999999999,20010515.htm
10.899999999999999,20010627.htm
3.6499999999999995,20010821.htm
-1.8499999999999979,20010917.htm
3.0999999999999996,20011002.htm
9.5,20011106.htm
9.700000000000001,20011211.htm
37.90000000000001,20020507.htm
29.400000000000002,20020626.htm
4.5,20020813.htm
17.999999999999993,20020924.htm
28.050000000000004,20021106.htm
20.599999999999994,20021210.htm
25.75,20030129.htm
28.2,20030318.htm
4.699999999999999,20030506.htm
21.800000000000008,20030625.htm
4.899999999999998,20030812.htm
5.849999999999997,20030916.htm
5.849999999999997,20031028.htm
9.149999999999995,20031209.htm
13.299999999999999,20040128.htm
10.799999999999999,20040316.htm
16.4,20040504.htm
23.40000000000001,20040630.htm
25.90000000000001,20040810.htm
14.900000000000002,20040921.htm
9.199999999999998,20041110.htm
23.05000000000002,20041214.htm
14.000000000000007,20050202.htm
10.200000000000001,20050322.htm
10.600000000000001,20050503.htm
13.800000000000004,20050630.htm
9.200000000000001,20050809.htm
2.7,20060131a.htm
2.25,20060328a.htm
4.25,20060510a.htm
3.500000000000001,20060629a.htm
2.3,20060808a.htm
1.7999999999999998,20060920a.htm
2.15,20061025a.htm
2.15,20061212a.htm
1.0,20070131a.htm
0.5999999999999998,20070321a.htm
0.5999999999999998,20070509a.htm
0.4999999999999999,20070618a.htm
-0.6500000000000001,20070807a.htm
2.7,20070810a.htm
-1.525,20070817b.htm
-0.3500000000000001,20070918a.htm
0.8249999999999998,20071031a.htm
0.17499999999999982,20071211a.htm
-2.6750000000000003,20080122b.htm
-1.2499999999999998,20080130a.htm
4.65,20080311a.htm
-0.4,20080318a.htm
-0.20000000000000034,20080430a.htm
0.7499999999999998,20080625a.htm
0.5499999999999996,20080805a.htm
-1.625,20080916a.htm
-3.575,20081008a.htm
0.2500000000000001,20081029a.htm
4.3500000000000005,20081216b.htm
8.7,20090128a.htm
4.775,20090318a.htm
4.749999999999999,20090429a.htm
5.249999999999999,20090624a.htm
6.199999999999998,20090812a.htm
7.499999999999999,20090923a.htm
11.250000000000002,20091104a.htm
10.9,20091216a.htm
8.900000000000002,20100127a.htm
7.800000000000001,20100316a.htm
8.150000000000002,20100428a.htm
2.4000000000000004,20100509a.htm
6.8500000000000005,20100623a.htm
8.850000000000005,20100810a.htm
9.700000000000001,20100921a.htm
8.45,20101103a.htm
7.500000000000001,20101214a.htm
11.750000000000002,20110126a.htm
14.100000000000001,20110315a.htm
14.600000000000001,20110427a.htm
9.75,20110622a.htm
7.6499999999999995,20110809a.htm
14.375,20110921a.htm
8.875,20111102a.htm
10.624999999999998,20111213a.htm
10.174999999999999,20120125a.htm
9.724999999999998,20120313a.htm
10.424999999999999,20120425a.htm
15.075000000000001,20120620a.htm
11.475,20120801a.htm
15.775000000000002,20120913a.htm
15.475000000000003,20121024a.htm
16.925000000000004,20121212a.htm
11.225000000000001,20130130a.htm
10.55,20130320a.htm
11.15,20130501a.htm
14.1,20130619a.htm
13.05,20130731a.htm
15.350000000000001,20130918a.htm
14.750000000000002,20131030a.htm
15.850000000000001,20131218a.htm
16.3,20140129a.htm
19.099999999999998,20140319a.htm
18.399999999999995,20140430a.htm
18.949999999999992,20140618a.htm
19.099999999999994,20140730a.htm
20.399999999999995,20140917a.htm
3.9000000000000004,20140917c.htm
14.949999999999998,20141029a.htm
14.2,20141217a.htm
10.4,20150128a.htm
9.249999999999998,20150318a.htm
10.599999999999998,20150429a.htm
10.35,20150617a.htm
10.999999999999998,20150729a.htm
9.799999999999999,20150917a.htm
10.549999999999999,20151028a.htm
8.95,20151216a.htm
5.850000000000001,20160127a.htm
8.0,20160127b.htm
8.2,20160316a.htm
9.25,20160427a.htm
6.9,20160615a.htm
8.15,20160727a.htm
9.0,20160921a.htm
9.749999999999996,20161102a.htm
7.949999999999999,20161214a.htm
9.149999999999999,20170201a.htm
10.949999999999998,20170315a.htm
10.249999999999998,20170503a.htm
10.249999999999996,20170614a.htm
5.35,20170614c.htm
9.449999999999998,20170726a.htm
5.75,20170920a.htm
4.200000000000001,20171101a.htm
8.15,20171213a.htm
9.149999999999997,20180131a.htm
4.199999999999999,20180131b.htm
9.349999999999996,20180321a.htm
9.449999999999998,20180502a.htm
9.4,20180613a.htm
9.5,20180801a.htm
7.8999999999999995,20180926a.htm
8.35,20181108a.htm
8.35,20181219a.htm
7.2,20190130a.htm
2.6499999999999995,20190130b.htm
3.2,20190130c.htm
5.750000000000001,20190320a.htm
9.400000000000002,20190320c.htm
6.000000000000001,20190501a.htm
6.2,20190619a.htm
6.1,20190731a.htm
6.8,20190918a.htm
15.749999999999996,20191011a.htm
4.3,20191030a.htm
4.300000000000001,20191211a.htm
3.750000000000001,20200129a.htm
1.35,20200303a.htm
12.6,20200315a.htm
1.2,20200319b.htm
15.924999999999999,20200323a.htm
7.800000000000001,20200331a.htm
2.75,20200429a.htm
3.5999999999999996,20200610a.htm
3.95,20200729a.htm
16.1,20200827a.htm
9.15,20200916a.htm
6.449999999999998,20201105a.htm
7.449999999999998,20201216a.htm
6.199999999999999,20210127a.htm
3.3,20210127b.htm
6.799999999999998,20210317a.htm
8.499999999999995,20210428a.htm
9.599999999999998,20210616a.htm
11.949999999999996,20210728a.htm
12.499999999999998,20210922a.htm
11.249999999999998,20211103a.htm
7.249999999999999,20211215a.htm
3.4000000000000004,20220126a.htm
3.3499999999999996,20220126b.htm
3.85,20220126c.htm
3.5000000000000004,20220316a.htm
1.6,20220504a.htm
5.3500000000000005,20220504b.htm
1.8499999999999994,20220615a.htm
1.1999999999999995,20220727a.htm
1.1999999999999995,20220921a.htm
1.4999999999999998,20221102a.htm
1.4999999999999998,20221214a.htm
3.75,20230201a.htm
3.25,20230201b.htm
5.1000000000000005,20230322a.htm
4.85,20230503a.htm
5.55,20230614a.htm
4.85,20230726a.htm
5.8500000000000005,20230920a.htm
5.95,20231101a.htm
5.95,20231213a.htm
5.300000000000001,20240131a.htm
2.95,20240131b.htm
